orb of transmutation|진화의 오브
tattoo of the kitava heart eater|키타바 심장 포식자의 문신
tattoo of the ramako archer|라마코 궁수의 문신
omen of death-dancing|죽음의 춤의 징조
journey tattoo of the soul|영혼의 여정 문신
tattoo of the tawhoa naturalist|타호아 박물학자의 문신
tattoo of the arohongui moonwarden|아로호누이 달의 간수의 문신
tattoo of the tawhoa shaman|타호아 주술사의 문신
tattoo of the arohongui warrior|아로호누이 전사의 문신
omen of amelioration|개량의 징조
tattoo of the ramako sniper|라마코 저격수의 문신
tattoo of the hinekora shaman|히네코라 주술사의 문신
tattoo of the hinekora deathwarden|히네코라 죽음의 간수의 문신
tattoo of the kitava blood drinker|키타바 피 흡수자의 문신
tattoo of the tasalio tideshifter|타살리오 파도변화술사의 문신
tattoo of the tasalio warrior|타살리오 전사의 문신
tattoo of the valako shieldbearer|발라코 방패 운반자의 문신
tattoo of the tawhoa herbalist|타호아 약초상의 문신
tattoo of the hinekora warmonger|히네코라 전쟁광의 문신
tattoo of the hinekora storyteller|히네코라 이야기꾼의 문신
journey tattoo of the mind|정신의 여정 문신
tattoo of the valako warrior|발라코 전사의 문신
omen of blanching|표백의 징조
tattoo of the arohongui scout|아로호누이 정찰병의 문신
tattoo of the tawhoa warrior|타호아 전사의 문신
tattoo of the ngamahu warrior|나마후 전사의 문신
omen of adrenaline|아드레날린의 징조
omen of the soul devourer|영혼 포식자의 징조
tattoo of the tukohama warmonger|투코하마 전쟁광의 문신
tattoo of the tasalio scout|타살리오 정찰병의 문신
tattoo of the ramako fleetfoot|라마코 쾌속병의 문신
tattoo of the rongokurai guard|롱고쿠라이 수호병의 문신
tattoo of the ngamahu woodcarver|나마후 목각사의 문신
omen of connections|연결의 징조
tattoo of the tukohama shaman|투코하마 주술사의 문신
omen of death's door|죽음의 문턱의 징조
omen of return|귀환의 징조
tattoo of the rongokurai warrior|롱고쿠라이 전사의 문신
tattoo of the kitava shaman|키타바 주술사의 문신
tattoo of the rongokurai brute|롱고쿠라이 돌격병의 문신
tattoo of the tawhoa scout|타호아 정찰병의 문신
tattoo of the tasalio shaman|타살리오 주술사의 문신
omen of fortune|행운의 징조
tattoo of the valako scout|발라코 정찰병의 문신
tattoo of the tukohama brawler|투코하마 싸움꾼의 문신
tattoo of the kitava warrior|키타바 전사의 문신
journey tattoo of the body|육신의 여정 문신
tattoo of the valako stormrider|발라코 태풍의 기수의 문신
tattoo of the kitava rebel|키타바 반란자의 문신
tattoo of the arohongui warmonger|아로호누이 전쟁광의 문신
tattoo of the tukohama warcaller|투코하마 전쟁 소집자의 문신
tattoo of the ngamahu firewalker|나마후 화염보행자의 문신
tattoo of the valako shaman|발라코 주술사의 문신
tattoo of the hinekora warrior|히네코라 전사의 문신
tattoo of the ramako scout|라마코 정찰병의 문신
omen of brilliance|광채의 징조
tattoo of the tukohama warrior|투코하마 전사의 문신
tattoo of the rongokurai goliath|롱고쿠라이 골리앗의 문신
tattoo of the ngamahu shaman|나마후 주술사의 문신
tattoo of the arohongui shaman|아로호누이 주술사의 문신
tattoo of the rongokurai turtle|롱고쿠라이 거북이의 문신
omen of the jeweller|보석상의 징조
omen of refreshment|원기 회복의 징조
tattoo of the ramako shaman|라마코 주술사의 문신
tattoo of the tasalio bladedancer|타살리오 검의 무희의 문신
tattoo of the ngamahu warmonger|나마후 전쟁광의 문신
forbidden tome (level 69)|금지된 책 (69레벨)
forbidden tome (level 68)|금지된 책 (68레벨)
the second sacrament|두 번째 성체
the power and the promise|힘과 약속
the gilded chalice|도금된 성배
the blood of innocence|이노센스의 피
forbidden tome (level 80)|금지된 책 (80레벨)
forbidden tome (level 83)|금지된 책 (83레벨)
the chains of castigation|징계의 사슬
the hour of divinity|신성의 시간
forbidden tome (level 81)|금지된 책 (81레벨)
forbidden tome (level 82)|금지된 책 (82레벨)
forbidden tome (level 78)|금지된 책 (78레벨)
forbidden tome (level 79)|금지된 책 (79레벨)
the broken censer|부서진 향로
the first crest|최초의 문양
the night lamp|밤의 등화
the original scripture|원형의 성서
forbidden tome (level 72)|금지된 책 (72레벨)
forbidden tome (level 73)|금지된 책 (73레벨)
forbidden tome (level 70)|금지된 책 (70레벨)
forbidden tome (level 71)|금지된 책 (71레벨)
forbidden tome (level 76)|금지된 책 (76레벨)
forbidden tome (level 77)|금지된 책 (77레벨)
forbidden tome (level 74)|금지된 책 (74레벨)
forbidden tome (level 75)|금지된 책 (75레벨)
kirac's memory of survivor's guilt|키락의 기억 - 생존자의 죄책감
alva's memory of cascading fortunes|알바의 기억 - 쏟아지는 보물
niko's memory of demonic onslaught|니코의 기억 - 악마의 맹공
kirac's memory of phaaryl|키락의 기억 - 파아릴
kirac's memory of the pantheon|키락의 기억 - 판테온
einhar's memory of harvest beasts|아인하르의 기억 - 수확 야수
einhar's memory of crystal prisons|아인하르의 기억 - 수정 수용소
niko's memory of chasms|니코의 기억 - 절벽길
alva's memory of reverse incursion|알바의 기억 - 역기습
niko's memory of tormented souls|니코의 기억 - 고통받는 영혼
niko's memory of grasping hands|니코의 기억 - 거머쥐는 손
einhar's memory of the sacred grove|아인하르의 기억 - 신성한 숲
influenced scouting report|영향을 받은 정찰 보고서
delirious scouting report|환영의 정찰 보고서
blighted scouting report|역병 걸린 정찰 보고서
otherworldly scouting report|신기한 정찰 보고서
singular scouting report|비범한 정찰 보고서
explorer's scouting report|탐험가의 정찰 보고서
operative's scouting report|첩보원의 정찰 보고서
vaal scouting report|바알 정찰 보고서
comprehensive scouting report|상세한 정찰 보고서
perception contract (level 78-82)|통찰력 계약 (레벨 78-82)
demolition contract (level 73-77)|파괴 공작 계약 (레벨 73-77)
blueprint (level 78-82)|도면 (레벨 78-82)
lockpicking contract (level 73-77)|자물쇠 따기 계약 (레벨 73-77)
agility contract (level 73-77)|민첩함 계약 (레벨 73-77)
brute force contract (level 78-82)|완력 계약 (레벨 78-82)
deception contract (level 73-77)|기만 계약 (레벨 73-77)
blueprint (level 83+, 4 wings)|도면 (레벨 83 이상, 부속 건물 4개)
lockpicking contract (level 83+)|자물쇠 따기 계약 (레벨 83 이상)
agility contract (level 78-82)|민첩함 계약 (레벨 78-82)
demolition contract (level 68-72)|파괴 공작 계약 (레벨 68-72)
perception contract (level 68-72)|통찰력 계약 (레벨 68-72)
demolition contract (level 83+)|파괴 공작 계약 (레벨 83 이상)
lockpicking contract (level 78-82)|자물쇠 따기 계약 (레벨 78-82)
lockpicking contract (level 68-72)|자물쇠 따기 계약 (레벨 68-72)
perception contract (level 83+)|통찰력 계약 (레벨 83 이상)
engineering contract (level 78-82)|공학 계약 (레벨 78-82)
deception contract (level 78-82)|기만 계약 (레벨 78-82)
low-tier contracts|낮은 등급 계약
mid-tier contracts|중간 등급 계약
high-tier contracts|높은 등급 계약
top-tier contracts|최고 등급 계약
blueprints|도면
trap disarmament contract (level 78-82)|덫 해제 계약 (레벨 78-82)
blueprint (level 73-77)|도면 (레벨 73-77)
engineering contract (level 73-77)|공학 계약 (레벨 73-77)
perception contract (level 73-77)|통찰력 계약 (레벨 73-77)
counter-thaumaturgy contract (level 73-77)|반-마석학 계약 (레벨 73-77)
brute force contract (level 73-77)|완력 계약 (레벨 73-77)
blueprint (level 83+, 3 wings)|도면 (레벨 83 이상, 부속 건물 3개)
trap disarmament contract (level 68-72)|덫 해제 계약 (레벨 68-72)
trap disarmament contract (level 83+)|덫 해제 계약 (레벨 83 이상)
agility contract (level 83+)|민첩함 계약 (레벨 83 이상)
trap disarmament contract (level 73-77)|덫 해제 계약 (레벨 73-77)
engineering contract (level 83+)|공학 계약 (레벨 83 이상)
deception contract (level 83+)|기만 계약 (레벨 83 이상)
agility contract (level 68-72)|민첩함 계약 (레벨 68-72)
counter-thaumaturgy contract (level 68-72)|반-마석학 계약 (레벨 68-72)
brute force contract (level 68-72)|완력 계약 (레벨 68-72)
counter-thaumaturgy contract (level 83+)|반-마석학 계약 (레벨 83 이상)
brute force contract (level 83+)|완력 계약 (레벨 83 이상)
blueprint (level 68-72)|도면 (레벨 68-72)
demolition contract (level 78-82)|파괴 공작 계약 (레벨 78-82)
engineering contract (level 68-72)|공학 계약 (레벨 68-72)
deception contract (level 68-72)|기만 계약 (레벨 68-72)
blueprint (level 83+)|도면 (레벨 83 이상)
counter-thaumaturgy contract (level 78-82)|반-마석학 계약 (레벨 78-82)
scrap metal|고철
burial medallion|매장용 메달리온
exotic coinage|특이한 주화
astragali|복사뼈
whispering delirium orb|속삭이는 환영의 오브
delirium orb|환영의 오브
fine delirium orb|양질의 환영의 오브
thaumaturge's delirium orb|마석학자의 환영의 오브
blighted delirium orb|역병 걸린 환영의 오브
armoursmith's delirium orb|갑옷제작자의 환영의 오브
obscured delirium orb|가려진 환영의 오브
abyssal delirium orb|심연의 환영의 오브
jeweller's delirium orb|쥬얼러 환영의 오브
skittering delirium orb|달리는 환영의 오브
cartographer's delirium orb|지도제작자의 환영의 오브
foreboding delirium orb|불길한 환영의 오브
singular delirium orb|비범한 환영의 오브
blacksmith's delirium orb|대장장이의 환영의 오브
challenging delirium orb|도전하는 환영의 오브
fossilised delirium orb|화석화된 환영의 오브
fragmented delirium orb|조각난 환영의 오브
primal delirium orb|원시 환영의 오브
kalguuran delirium orb|칼구르 환영의 오브
diviner's delirium orb|예언자의 환영의 오브
timeless delirium orb|무궁한 환영의 오브
prismatic catalyst|분광의 기폭제
tempering catalyst|완화의 기폭제
unstable catalyst|불안정한 기폭제
abrasive catalyst|연마의 기폭제
imbued catalyst|부여의 기폭제
noxious catalyst|유독성 기폭제
turbulent catalyst|격동의 기폭제
intrinsic catalyst|본질의 기폭제
tainted catalyst|더럽혀진 기폭제
fertile catalyst|풍요의 기폭제
accelerating catalyst|가속의 기폭제
reflective oil|투영 성유
prismatic oil|분광 성유
violet oil|보랏빛 성유
golden oil|금빛 성유
teal oil|청록빛 성유
tainted oil|더럽혀진 성유
amber oil|호박빛 성유
opalescent oil|오팔빛 성유
azure oil|담청빛 성유
silver oil|은빛 성유
black oil|검은빛 성유
sepia oil|적갈빛 성유
crimson oil|진홍빛 성유
verdant oil|신록빛 성유
oil extractor|성유 추출기
indigo oil|남색 성유
clear oil|투명한 성유
thaumaturge's incubator|마석학자의 인큐베이터
geomancer's incubator|대지술사의 인큐베이터
fine incubator|양질의 인큐베이터
whispering incubator|속삭이는 인큐베이터
blighted incubator|역병 걸린 인큐베이터
celestial jeweller's incubator|천공의 보석상의 인큐베이터
celestial blacksmith's incubator|천공의 대장장이의 인큐베이터
abyssal incubator|심연의 인큐베이터
time-lost incubator|오래된 인큐베이터
diviner's incubator|예언자의 인큐베이터
mysterious incubator|수수께끼의 인큐베이터
primal incubator|원시 인큐베이터
obscured incubator|가려진 인큐베이터
challenging incubator|도전하는 인큐베이터
fossilised incubator|화석화된 인큐베이터
fragmented incubator|조각난 인큐베이터
eldritch incubator|섬뜩한 인큐베이터
skittering incubator|달리는 인큐베이터
maddening incubator|광기의 인큐베이터
ornate incubator|화려한 인큐베이터
kalguuran incubator|칼구르 인큐베이터
celestial armoursmith's incubator|천공의 갑옷제작자의 인큐베이터
otherworldly incubator|이계의 인큐베이터
cartographer's incubator|지도제작자의 인큐베이터
foreboding incubator|불길한 인큐베이터
gemcutter's incubator|세공사의 인큐베이터
enchanted incubator|인챈트된 인큐베이터
singular incubator|비범한 인큐베이터
infused incubator|주입된 인큐베이터
feral incubator|야생의 인큐베이터
prismatic fossil|분광 화석
hollow fossil|공허의 화석
lucent fossil|빛나는 화석
pristine fossil|온전한 화석
bound fossil|속박의 화석
opulent fossil|호화로운 화석
bloodstained fossil|피얼룩 화석
shuddering fossil|전율의 화석
serrated fossil|톱니 화석
aberrant fossil|특이한 화석
frigid fossil|차디찬 화석
aetheric fossil|에테르 화석
dense fossil|조밀한 화석
faceted fossil|연마한 화석
primitive chaotic resonator|초기형 혼돈 공명기
powerful chaotic resonator|강력 혼돈 공명기
metallic fossil|금속성 화석
jagged fossil|뾰족한 화석
prime chaotic resonator|최종형 혼돈 공명기
gilded fossil|도금된 화석
glyphic fossil|상형 문자 화석
potent chaotic resonator|강화형 혼돈 공명기
tangled fossil|얽혀든 화석
fundamental fossil|근본적인 화석
scorched fossil|그을린 화석
sanctified fossil|축성된 화석
fractured fossil|분열된 화석
corroded fossil|부식된 화석
deft fossil|날렵한 화석
shrieking essence of greed|악을 쓰는 탐욕의 에센스
deafening essence of contempt|귀를 찢는 경멸의 에센스
shrieking essence of anguish|악을 쓰는 비통의 에센스
deafening essence of zeal|귀를 찢는 열의의 에센스
shrieking essence of loathing|악을 쓰는 혐오의 에센스
wailing essence of zeal|울부짖는 열의의 에센스
wailing essence of greed|울부짖는 탐욕의 에센스
wailing essence of wrath|울부짖는 진노의 에센스
screaming essence of scorn|절규하는 멸시의 에센스
screaming essence of greed|절규하는 탐욕의 에센스
shrieking essence of torment|악을 쓰는 고뇌의 에센스
screaming essence of zeal|절규하는 열의의 에센스
screaming essence of wrath|절규하는 진노의 에센스
wailing essence of anguish|울부짖는 비통의 에센스
deafening essence of sorrow|귀를 찢는 슬픔의 에센스
shrieking essence of suffering|악을 쓰는 고통의 에센스
weeping essence of sorrow|흐느끼는 슬픔의 에센스
muttering essence of contempt|불평하는 경멸의 에센스
weeping essence of doubt|흐느끼는 의심의 에센스
screaming essence of sorrow|절규하는 슬픔의 에센스
shrieking essence of contempt|악을 쓰는 경멸의 에센스
deafening essence of misery|귀를 찢는 비참의 에센스
deafening essence of loathing|귀를 찢는 혐오의 에센스
weeping essence of contempt|흐느끼는 경멸의 에센스
screaming essence of woe|절규하는 비애의 에센스
screaming essence of hatred|절규하는 증오의 에센스
screaming essence of dread|절규하는 불안의 에센스
weeping essence of torment|흐느끼는 고뇌의 에센스
deafening essence of spite|귀를 찢는 악의의 에센스
deafening essence of wrath|귀를 찢는 진노의 에센스
screaming essence of anguish|절규하는 비통의 에센스
wailing essence of rage|울부짖는 격노의 에센스
screaming essence of suffering|절규하는 고통의 에센스
deafening essence of anger|귀를 찢는 분노의 에센스
essence of hysteria|발작의 에센스
shrieking essence of sorrow|악을 쓰는 슬픔의 에센스
deafening essence of greed|귀를 찢는 탐욕의 에센스
deafening essence of suffering|귀를 찢는 고통의 에센스
deafening essence of rage|귀를 찢는 격노의 에센스
shrieking essence of hatred|악을 쓰는 증오의 에센스
screaming essence of torment|절규하는 고뇌의 에센스
shrieking essence of anger|악을 쓰는 분노의 에센스
wailing essence of doubt|울부짖는 의심의 에센스
screaming essence of doubt|절규하는 의심의 에센스
shrieking essence of dread|악을 쓰는 불안의 에센스
wailing essence of torment|울부짖는 고뇌의 에센스
wailing essence of hatred|울부짖는 증오의 에센스
wailing essence of sorrow|울부짖는 슬픔의 에센스
